Date,Dernier,MA_150,MA_100,MA_50,RSI
2023-03-02,0.21986996810538434,19538.987999999998,19844.567,22791.73,52.249642301151354
2023-03-03,0.209386264555457,19552.416,19901.872,22861.791999999998,42.90313097635382
2023-03-04,0.20931737973465186,19567.013333333332,19959.331,22910.194,42.84889352031359
2023-03-05,0.21008360541264837,19583.49066666667,20018.490999999998,22939.596,43.7014543054573
2023-03-06,0.2099109215467945,19602.682,20078.025999999998,22970.2,43.543799658359966
2023-03-07,0.2079085436050352,19621.234,20135.748,22990.472,41.66673459510205
2023-03-08,0.20331307679242078,19636.366,20190.739,23001.945999999996,37.6549021049204
2023-03-09,0.1905835393587106,19644.547333333336,20229.953,22995.77,29.25279272950641
2023-03-10,0.1886481589823919,19651.86466666667,20259.881,22977.28,28.22172141975011
2023-03-11,0.19158095381886123,19660.616,20294.836,22933.085999999996,32.12586439210084
2023-03-12,0.20599297941004396,19678.049333333332,20343.848,22917.467999999997,47.296401816587704
2023-03-13,0.2259941117632627,19710.933333333334,20416.147,22945.6,60.49352289234036
2023-03-14,0.23151716458754035,19748.47333333333,20492.018,22981.284,63.231466740448916
2023-03-15,0.2275822371525091,19781.945333333333,20565.18,23014.287999999997,60.03896150157594
2023-03-16,0.2343895672523449,19818.318,20644.328,23053.268000000004,63.47467700131993
2023-03-17,0.25692056542170716,19872.075333333334,20749.894,23140.784,72.04244836549583
2023-03-18,0.25241663049427215,19924.01266666667,20846.782,23217.582,68.57935987639098
2023-03-19,0.26226999075244867,19983.45133333333,20955.112,23316.198000000004,71.7758471401387
2023-03-20,0.2600222696133013,20040.504,21061.045,23395.546000000002,70.02576448635452
2023-03-21,0.2637354445430011,20099.898666666664,21171.251999999997,23501.182,71.27192619958717
2023-03-22,0.2556929058070847,20151.16866666667,21271.765,23583.914,64.97134542095756
2023-03-23,0.2655915601940098,20211.03,21377.086,23675.616,68.6452896852766
2023-03-24,0.2575848793100194,20260.226666666666,21473.744,23756.307999999997,62.89868024828322
2023-03-25,0.25771132541944247,20304.934,21574.939,23837.196,62.95142873917836
2023-03-26,0.2624096476494234,20356.138000000003,21688.377999999997,23930.19,64.94569895919071
2023-03-27,0.25444826089418154,20399.707333333336,21791.904999999995,24014.066000000003,59.1367129945805
2023-03-28,0.25569762394549606,20442.72333333333,21897.116,24104.074,59.74520126510187
2023-03-29,0.2659661803838677,20494.217333333334,22016.207,24206.048,64.43302489483665
2023-03-30,0.2629380791514899,20544.438666666665,22127.474,24307.346,62.13509768041319
2023-03-31,0.2671296733160964,20597.706666666665,22243.892999999996,24440.97,64.04654318792115
2023-04-01,0.26696359484401827,20653.051333333333,22360.248000000003,24577.392000000003,63.90888402904419
2023-04-02,0.2645309226791477,20706.33066666667,22474.44,24704.162,61.81310772993822
2023-04-03,0.26079226980202685,20750.705333333335,22584.089,24824.467999999997,58.63091413205302
2023-04-04,0.264211032894861,20796.457333333336,22697.415,24952.304,60.627016850092254
2023-04-05,0.26429690301394676,20844.83866666667,22809.968999999997,25071.804,60.678338022468225
2023-04-06,0.2630060203446128,20894.49,22923.275,25145.98,59.424353710210454
2023-04-07,0.2618142185819163,20957.043333333335,23036.917,25233.395999999997,58.227911905579845
2023-04-08,0.2621048559080529,21037.405333333332,23149.965,25300.75,58.44762453320785
2023-04-09,0.2657415969954894,21108.988666666664,23267.159,25374.654,61.19786183240016
2023-04-10,0.278144639251137,21192.929333333333,23398.195,25481.416,68.78584582141787
2023-04-11,0.28351010625247697,21282.358666666667,23534.106999999996,25588.818000000003,71.39212170748749
2023-04-12,0.28046030158340723,21372.771333333334,23666.228,25697.531999999996,67.92060286500852
2023-04-13,0.2851878762715383,21464.595999999998,23803.359999999997,25821.548000000003,70.32912503575704
2023-04-14,0.28599090342914296,21555.111999999997,23939.564,25952.272,70.73110763634706
