Dernier,MA_150,MA_100,MA_50,RSI
0.00427742161443165,481.15799999999996,515.332,592.128,53.043264971119925
0.004165081474922188,488.5906666666666,524.905,608.734,50.51835621648581
0.004340671945079833,504.12,546.7330000000001,644.018,53.753037632261
0.004185850240209652,514.8566666666667,563.2040000000001,659.42,48.895108764153065
0.0035372983423693194,533.5640000000001,586.936,641.504,41.12873389669062
0.003468383803006374,551.1426666666666,607.135,617.7539999999999,43.232222040142815
0.003730825473457046,563.2406666666666,621.117,601.304,59.90012996107572
0.0039507855785469986,613.1773333333334,611.293,612.182,57.117211415716724
0.004157529196635838,620.362,610.078,618.8520000000001,68.05291436185935
0.0044775569890199325,629.3633333333333,613.627,634.2679999999999,56.40001994039824
0.004724894102897904,633.3746666666667,626.105,659.156,59.36362232568565
